file,speaker,label,numeric_label
7880.wav,Ayn Rand,bona-fide,0
7881.wav,Donald Trump,bona-fide,0
7882.wav,Alec Guinness,bona-fide,0
7883.wav,The Notorious B.I.G.,spoof,1
7884.wav,Alec Guinness,bona-fide,0
7885.wav,Barack Obama,bona-fide,0
7886.wav,Bill Clinton,bona-fide,0
7887.wav,Alec Guinness,bona-fide,0
7888.wav,Bernie Sanders,bona-fide,0
7889.wav,Louis Farrakhan,spoof,1
7890.wav,Ayn Rand,bona-fide,0
7891.wav,Barack Obama,bona-fide,0
7892.wav,FDR,spoof,1
7893.wav,Ayn Rand,spoof,1
7894.wav,Ayn Rand,bona-fide,0
7895.wav,Ayn Rand,spoof,1
7896.wav,Christopher Hitchens,bona-fide,0
7897.wav,Alec Guinness,bona-fide,0
7898.wav,Nelson Mandela,spoof,1
7899.wav,Ayn Rand,spoof,1
7900.wav,2Pac,spoof,1
7901.wav,Ayn Rand,spoof,1
7902.wav,Alan Watts,spoof,1
7903.wav,Alec Guinness,bona-fide,0
7904.wav,Alan Watts,spoof,1
7905.wav,Ayn Rand,spoof,1
7906.wav,Ayn Rand,spoof,1
7907.wav,Donald Trump,bona-fide,0
7908.wav,Alec Guinness,bona-fide,0
7909.wav,Dwight Eisenhower,bona-fide,0
7910.wav,Donald Trump,bona-fide,0
7911.wav,Ronald Reagan,bona-fide,0
7912.wav,Ronald Reagan,spoof,1
7913.wav,Donald Trump,bona-fide,0
7914.wav,Ayn Rand,spoof,1
7915.wav,Bernie Sanders,bona-fide,0
7916.wav,Dwight Eisenhower,spoof,1
7917.wav,Queen Elizabeth II,spoof,1
7918.wav,Donald Trump,bona-fide,0
7919.wav,Ayn Rand,bona-fide,0
7920.wav,Bernie Sanders,bona-fide,0
7921.wav,Bernie Sanders,spoof,1
7922.wav,FDR,spoof,1
7923.wav,Barack Obama,bona-fide,0
7924.wav,Donald Trump,bona-fide,0
7925.wav,Donald Trump,bona-fide,0
7926.wav,Lyndon Johnson,bona-fide,0
7927.wav,Richard Nixon,bona-fide,0
7928.wav,Bernie Sanders,bona-fide,0
7929.wav,Donald Trump,bona-fide,0
7930.wav,George Carlin,bona-fide,0
7931.wav,Bill Clinton,bona-fide,0
7932.wav,Bill Burr,spoof,1
7933.wav,Bernie Sanders,bona-fide,0
7934.wav,Barack Obama,bona-fide,0
7935.wav,Donald Trump,bona-fide,0
7936.wav,Alec Guinness,bona-fide,0
7937.wav,Bernie Sanders,bona-fide,0
7938.wav,Bernie Sanders,bona-fide,0
7939.wav,Richard Nixon,bona-fide,0
7940.wav,Orson Welles,spoof,1
7941.wav,FDR,spoof,1
7942.wav,George W. Bush,spoof,1
7943.wav,Martin Luther King,bona-fide,0
7944.wav,Martin Luther King,bona-fide,0
7945.wav,Bill Clinton,bona-fide,0
7946.wav,Martin Luther King,bona-fide,0
7947.wav,Ayn Rand,spoof,1
7948.wav,Winston Churchill,bona-fide,0
7949.wav,Donald Trump,bona-fide,0
7950.wav,Bill Clinton,bona-fide,0
7951.wav,Bill Clinton,spoof,1
7952.wav,Bill Clinton,spoof,1
7953.wav,Winston Churchill,spoof,1
7954.wav,Milton Friedman,spoof,1
7955.wav,JFK,spoof,1
7956.wav,Bernie Sanders,bona-fide,0
7957.wav,Milton Friedman,spoof,1
7958.wav,Martin Luther King,spoof,1
7959.wav,Ayn Rand,bona-fide,0
7960.wav,Barack Obama,bona-fide,0
7961.wav,Alec Guinness,spoof,1
7962.wav,Calvin Coolidge,bona-fide,0
7963.wav,Bill Clinton,bona-fide,0
7964.wav,Alec Guinness,bona-fide,0
7965.wav,Norm MacDonald,spoof,1
7966.wav,Barack Obama,spoof,1
7967.wav,Donald Trump,bona-fide,0
7968.wav,Bill Clinton,bona-fide,0
7969.wav,Alexandria Ocasio-Cortez,bona-fide,0
7970.wav,Bill Clinton,bona-fide,0
7971.wav,Barack Obama,bona-fide,0
7972.wav,Alec Guinness,spoof,1
7973.wav,Alec Guinness,spoof,1
7974.wav,Ronald Reagan,spoof,1
7975.wav,Martin Luther King,bona-fide,0
7976.wav,Harry Truman,bona-fide,0
7977.wav,Bernie Sanders,bona-fide,0
7978.wav,Donald Trump,bona-fide,0
7979.wav,Alec Guinness,bona-fide,0
7980.wav,Ayn Rand,bona-fide,0
7981.wav,Donald Trump,spoof,1
7982.wav,Bernie Sanders,bona-fide,0
7983.wav,Bill Clinton,spoof,1
7984.wav,Ronald Reagan,bona-fide,0
7985.wav,Bill Clinton,bona-fide,0
7986.wav,Donald Trump,bona-fide,0
7987.wav,Dwight Eisenhower,bona-fide,0
7988.wav,Bill Clinton,spoof,1
7989.wav,Ayn Rand,spoof,1
7990.wav,Louis Farrakhan,bona-fide,0
7991.wav,John Cleese,bona-fide,0
7992.wav,Donald Trump,bona-fide,0
7993.wav,Winston Churchill,bona-fide,0
7994.wav,Alec Guinness,bona-fide,0
7995.wav,Barack Obama,bona-fide,0
7996.wav,Martin Luther King,bona-fide,0
7997.wav,Bill Burr,bona-fide,0
7998.wav,Milton Friedman,bona-fide,0
7999.wav,Winston Churchill,bona-fide,0
8000.wav,Bernie Sanders,spoof,1
8001.wav,Barack Obama,bona-fide,0
8002.wav,Barack Obama,bona-fide,0
8003.wav,Bill Clinton,bona-fide,0
8004.wav,Ayn Rand,bona-fide,0
8005.wav,Ayn Rand,bona-fide,0
8006.wav,Bernie Sanders,spoof,1
8007.wav,Bernie Sanders,spoof,1
8008.wav,Christopher Hitchens,spoof,1
8009.wav,Donald Trump,bona-fide,0
8010.wav,Alec Guinness,spoof,1
8011.wav,Bernie Sanders,spoof,1
8012.wav,Alec Guinness,spoof,1
8013.wav,Ronald Reagan,spoof,1
8014.wav,Winston Churchill,bona-fide,0
8015.wav,Bill Clinton,bona-fide,0
8016.wav,Harry Truman,spoof,1
8017.wav,Malcolm X,bona-fide,0
8018.wav,Winston Churchill,bona-fide,0
8019.wav,Alec Guinness,spoof,1
8020.wav,Christopher Hitchens,bona-fide,0
8021.wav,Bernie Sanders,spoof,1
8022.wav,Alec Guinness,bona-fide,0
8023.wav,Alec Guinness,spoof,1
8024.wav,Bernie Sanders,spoof,1
8025.wav,Alec Guinness,spoof,1
8026.wav,Bernie Sanders,bona-fide,0
8027.wav,Ayn Rand,bona-fide,0
8028.wav,Barack Obama,bona-fide,0
8029.wav,Ayn Rand,bona-fide,0
8030.wav,Winston Churchill,bona-fide,0
8031.wav,Barack Obama,bona-fide,0
8032.wav,Ronald Reagan,bona-fide,0
8033.wav,Alec Guinness,bona-fide,0
8034.wav,Bernie Sanders,bona-fide,0
8035.wav,Mr. Rogers,spoof,1
8036.wav,Ronald Reagan,spoof,1
8037.wav,Frank Sinatra,bona-fide,0
8038.wav,Harry Truman,spoof,1
8039.wav,Alec Guinness,bona-fide,0
8040.wav,FDR,bona-fide,0
8041.wav,Bill Clinton,spoof,1
8042.wav,Gilbert Gottfried,spoof,1
8043.wav,Ayn Rand,bona-fide,0
8044.wav,Bill Clinton,bona-fide,0
8045.wav,Nelson Mandela,bona-fide,0
8046.wav,Bernie Sanders,bona-fide,0
8047.wav,JFK,spoof,1
8048.wav,Winston Churchill,bona-fide,0
8049.wav,Christopher Hitchens,bona-fide,0
8050.wav,Winston Churchill,bona-fide,0
8051.wav,Bernie Sanders,bona-fide,0
8052.wav,Donald Trump,bona-fide,0
8053.wav,Alec Guinness,bona-fide,0
8054.wav,Winston Churchill,bona-fide,0
8055.wav,Alec Guinness,spoof,1
8056.wav,Alec Guinness,spoof,1
8057.wav,Robert Kardashian,bona-fide,0
8058.wav,Ayn Rand,bona-fide,0
8059.wav,Bill Clinton,spoof,1
8060.wav,Bernie Sanders,spoof,1
8061.wav,Ayn Rand,bona-fide,0
8062.wav,Mark Zuckerberg,spoof,1
8063.wav,Donald Trump,bona-fide,0
8064.wav,Bernie Sanders,spoof,1
8065.wav,Barack Obama,bona-fide,0
8066.wav,Barack Obama,bona-fide,0
8067.wav,Barack Obama,bona-fide,0
8068.wav,Alec Guinness,bona-fide,0
8069.wav,Ronald Reagan,spoof,1
8070.wav,Alec Guinness,bona-fide,0
8071.wav,Mark Zuckerberg,bona-fide,0
8072.wav,Donald Trump,bona-fide,0
8073.wav,JFK,bona-fide,0
8074.wav,Barack Obama,bona-fide,0
8075.wav,Barack Obama,bona-fide,0
8076.wav,Bill Clinton,bona-fide,0
8077.wav,Martin Luther King,bona-fide,0
8078.wav,Barack Obama,bona-fide,0
8079.wav,Donald Trump,bona-fide,0
8080.wav,Ayn Rand,bona-fide,0
8081.wav,Alec Guinness,bona-fide,0
8082.wav,Boris Johnson,bona-fide,0
8083.wav,Alec Guinness,spoof,1
8084.wav,Martin Luther King,bona-fide,0
8085.wav,Ronald Reagan,spoof,1
8086.wav,Ayn Rand,spoof,1
8087.wav,Donald Trump,bona-fide,0
8088.wav,Richard Nixon,spoof,1
8089.wav,Donald Trump,bona-fide,0
8090.wav,Scarlett Johansson,spoof,1
8091.wav,Donald Trump,bona-fide,0
8092.wav,Bill Clinton,spoof,1
8093.wav,FDR,spoof,1
8094.wav,Bill Clinton,bona-fide,0
8095.wav,Bill Clinton,spoof,1
8096.wav,Alec Guinness,spoof,1
8097.wav,Barack Obama,bona-fide,0
8098.wav,FDR,bona-fide,0
8099.wav,Milton Friedman,bona-fide,0
8100.wav,Bill Clinton,bona-fide,0
8101.wav,Bill Clinton,spoof,1
8102.wav,Winston Churchill,bona-fide,0
8103.wav,Barack Obama,bona-fide,0
8104.wav,Barack Obama,bona-fide,0
8105.wav,Barack Obama,bona-fide,0
8106.wav,Donald Trump,bona-fide,0
8107.wav,Barack Obama,bona-fide,0
8108.wav,Louis Farrakhan,bona-fide,0
8109.wav,Barack Obama,bona-fide,0
8110.wav,Ronald Reagan,spoof,1
8111.wav,Donald Trump,bona-fide,0
8112.wav,Bill Clinton,bona-fide,0
8113.wav,Richard Nixon,bona-fide,0
8114.wav,Martin Luther King,bona-fide,0
8115.wav,Richard Nixon,spoof,1
8116.wav,Alec Guinness,bona-fide,0
8117.wav,Bill Clinton,spoof,1
8118.wav,Queen Elizabeth II,spoof,1
8119.wav,Malcolm X,bona-fide,0
8120.wav,Milton Friedman,spoof,1
8121.wav,Barack Obama,bona-fide,0
8122.wav,Barack Obama,bona-fide,0
8123.wav,Lyndon Johnson,bona-fide,0
8124.wav,Ayn Rand,bona-fide,0
8125.wav,Kamala Harris,bona-fide,0
8126.wav,Donald Trump,bona-fide,0
8127.wav,Mark Zuckerberg,bona-fide,0
8128.wav,Nelson Mandela,bona-fide,0
8129.wav,The Notorious B.I.G.,spoof,1
8130.wav,2Pac,spoof,1
8131.wav,FDR,bona-fide,0
8132.wav,Alec Guinness,spoof,1
8133.wav,Barack Obama,bona-fide,0
8134.wav,Barack Obama,bona-fide,0
8135.wav,Bernie Sanders,bona-fide,0
8136.wav,Malcolm X,spoof,1
8137.wav,Alec Guinness,spoof,1
8138.wav,Ronald Reagan,bona-fide,0
8139.wav,FDR,spoof,1
8140.wav,Milton Friedman,bona-fide,0
8141.wav,Gilbert Gottfried,bona-fide,0
8142.wav,Bernie Sanders,bona-fide,0
8143.wav,Gilbert Gottfried,bona-fide,0
8144.wav,Ayn Rand,bona-fide,0
8145.wav,George W. Bush,spoof,1
8146.wav,FDR,bona-fide,0
8147.wav,Alec Guinness,bona-fide,0
8148.wav,Ronald Reagan,bona-fide,0
8149.wav,Bill Clinton,bona-fide,0
8150.wav,Bill Clinton,spoof,1
8151.wav,FDR,spoof,1
8152.wav,Alec Guinness,spoof,1
8153.wav,Nelson Mandela,spoof,1
8154.wav,Barack Obama,bona-fide,0
8155.wav,Christopher Hitchens,bona-fide,0
8156.wav,Donald Trump,bona-fide,0
8157.wav,Alec Guinness,bona-fide,0
8158.wav,Bill Burr,spoof,1
8159.wav,Barack Obama,bona-fide,0
8160.wav,Bill Clinton,bona-fide,0
8161.wav,Ronald Reagan,bona-fide,0
8162.wav,Winston Churchill,spoof,1
8163.wav,Ronald Reagan,bona-fide,0
8164.wav,Bernie Sanders,spoof,1
8165.wav,Bill Clinton,spoof,1
8166.wav,Bernie Sanders,spoof,1
8167.wav,Alec Guinness,bona-fide,0
8168.wav,Mark Zuckerberg,bona-fide,0
8169.wav,Nick Offerman,bona-fide,0
8170.wav,Alec Guinness,spoof,1
8171.wav,Barack Obama,bona-fide,0
8172.wav,Donald Trump,bona-fide,0
8173.wav,Christopher Hitchens,bona-fide,0
8174.wav,Christopher Hitchens,bona-fide,0
8175.wav,JFK,spoof,1
8176.wav,Barack Obama,bona-fide,0
8177.wav,Bernie Sanders,spoof,1
8178.wav,Christopher Hitchens,spoof,1
8179.wav,Donald Trump,bona-fide,0
8180.wav,Alec Guinness,bona-fide,0
8181.wav,Barack Obama,bona-fide,0
8182.wav,Bernie Sanders,bona-fide,0
8183.wav,Milton Friedman,spoof,1
8184.wav,Barack Obama,bona-fide,0
8185.wav,The Notorious B.I.G.,spoof,1
8186.wav,Alec Guinness,bona-fide,0
8187.wav,Bill Clinton,spoof,1
8188.wav,Alexandria Ocasio-Cortez,bona-fide,0
8189.wav,Alec Guinness,spoof,1
8190.wav,Nick Offerman,bona-fide,0
8191.wav,Bernie Sanders,spoof,1
8192.wav,Mr. Rogers,bona-fide,0
8193.wav,Alec Guinness,spoof,1
8194.wav,Ayn Rand,spoof,1
8195.wav,Alec Guinness,spoof,1
8196.wav,Bernie Sanders,spoof,1
8197.wav,Nelson Mandela,spoof,1
8198.wav,Winston Churchill,bona-fide,0
8199.wav,Bernie Sanders,bona-fide,0
8200.wav,The Notorious B.I.G.,spoof,1
8201.wav,Donald Trump,bona-fide,0
8202.wav,Queen Elizabeth II,spoof,1
8203.wav,Donald Trump,bona-fide,0
8204.wav,Barack Obama,bona-fide,0
8205.wav,Barack Obama,bona-fide,0
8206.wav,Bernie Sanders,bona-fide,0
8207.wav,Alec Guinness,spoof,1
8208.wav,Calvin Coolidge,bona-fide,0
8209.wav,Milton Friedman,spoof,1
8210.wav,Bernie Sanders,bona-fide,0
8211.wav,Christopher Hitchens,bona-fide,0
8212.wav,Alec Guinness,spoof,1
8213.wav,Alexandria Ocasio-Cortez,bona-fide,0
8214.wav,Mark Zuckerberg,bona-fide,0
8215.wav,Barack Obama,bona-fide,0
8216.wav,Barack Obama,bona-fide,0
8217.wav,Alec Guinness,bona-fide,0
8218.wav,Milton Friedman,spoof,1
8219.wav,Dwight Eisenhower,spoof,1
8220.wav,Dwight Eisenhower,bona-fide,0
8221.wav,Alan Watts,bona-fide,0
8222.wav,Ronald Reagan,spoof,1
8223.wav,Jerry Seinfeld,spoof,1
8224.wav,Ayn Rand,bona-fide,0
8225.wav,Winston Churchill,bona-fide,0
8226.wav,Donald Trump,bona-fide,0
8227.wav,Nelson Mandela,spoof,1
8228.wav,Ayn Rand,bona-fide,0
8229.wav,Barack Obama,bona-fide,0
8230.wav,Boris Johnson,bona-fide,0
8231.wav,Ayn Rand,bona-fide,0
8232.wav,Lyndon Johnson,bona-fide,0
8233.wav,Bernie Sanders,bona-fide,0
8234.wav,Barack Obama,bona-fide,0
8235.wav,Milton Friedman,spoof,1
8236.wav,Milton Friedman,bona-fide,0
8237.wav,Donald Trump,bona-fide,0
8238.wav,Christopher Hitchens,spoof,1
8239.wav,Christopher Hitchens,bona-fide,0
8240.wav,Alec Guinness,bona-fide,0
8241.wav,Alec Guinness,spoof,1
8242.wav,Donald Trump,bona-fide,0
8243.wav,Barack Obama,bona-fide,0
8244.wav,Alec Guinness,spoof,1
8245.wav,Milton Friedman,bona-fide,0
8246.wav,JFK,bona-fide,0
8247.wav,Donald Trump,bona-fide,0
8248.wav,Martin Luther King,bona-fide,0
8249.wav,Alec Guinness,spoof,1
8250.wav,Ronald Reagan,spoof,1
8251.wav,Christopher Hitchens,bona-fide,0
8252.wav,Bill Clinton,bona-fide,0
8253.wav,Louis Farrakhan,bona-fide,0
8254.wav,Christopher Hitchens,spoof,1
8255.wav,JFK,bona-fide,0
8256.wav,Bill Clinton,bona-fide,0
8257.wav,Louis Farrakhan,bona-fide,0
8258.wav,Alec Guinness,spoof,1
8259.wav,Bill Clinton,bona-fide,0
8260.wav,Milton Friedman,bona-fide,0
8261.wav,Donald Trump,bona-fide,0
8262.wav,Bob Ross,bona-fide,0
8263.wav,Ayn Rand,spoof,1
8264.wav,Alan Watts,spoof,1
8265.wav,Barack Obama,bona-fide,0
8266.wav,Richard Nixon,spoof,1
8267.wav,John Cleese,spoof,1
8268.wav,Bill Clinton,bona-fide,0
8269.wav,Mark Zuckerberg,spoof,1
8270.wav,Bernie Sanders,bona-fide,0
8271.wav,Alec Guinness,spoof,1
8272.wav,Donald Trump,bona-fide,0
8273.wav,Arnold Schwarzenegger,bona-fide,0
8274.wav,Barack Obama,bona-fide,0
8275.wav,Scarlett Johansson,spoof,1
8276.wav,Donald Trump,bona-fide,0
8277.wav,Mark Zuckerberg,spoof,1
8278.wav,Alec Guinness,spoof,1
8279.wav,Ronald Reagan,bona-fide,0
8280.wav,Donald Trump,bona-fide,0
8281.wav,The Notorious B.I.G.,spoof,1
8282.wav,Barack Obama,bona-fide,0
8283.wav,Barack Obama,spoof,1
8284.wav,Queen Elizabeth II,spoof,1
8285.wav,The Notorious B.I.G.,spoof,1
8286.wav,Alec Guinness,bona-fide,0
8287.wav,George W. Bush,bona-fide,0
8288.wav,Ronald Reagan,spoof,1
8289.wav,The Notorious B.I.G.,spoof,1
8290.wav,Barack Obama,bona-fide,0
8291.wav,Barack Obama,bona-fide,0
8292.wav,Barack Obama,bona-fide,0
8293.wav,JFK,spoof,1
8294.wav,Winston Churchill,spoof,1
8295.wav,Norm MacDonald,spoof,1
8296.wav,Ayn Rand,spoof,1
8297.wav,Barack Obama,bona-fide,0
8298.wav,Mark Zuckerberg,bona-fide,0
8299.wav,Barack Obama,bona-fide,0
8300.wav,Alec Guinness,bona-fide,0
8301.wav,Ronald Reagan,spoof,1
8302.wav,Barack Obama,bona-fide,0
8303.wav,Barack Obama,bona-fide,0
8304.wav,Barack Obama,bona-fide,0
8305.wav,The Notorious B.I.G.,spoof,1
8306.wav,Donald Trump,bona-fide,0
8307.wav,Bill Clinton,bona-fide,0
8308.wav,Alec Guinness,spoof,1
8309.wav,Christopher Hitchens,bona-fide,0
8310.wav,Ayn Rand,bona-fide,0
8311.wav,Ayn Rand,spoof,1
8312.wav,Mark Zuckerberg,spoof,1
8313.wav,JFK,bona-fide,0
8314.wav,Malcolm X,spoof,1
8315.wav,Ayn Rand,spoof,1
8316.wav,Adam Driver,bona-fide,0
8317.wav,Alec Guinness,bona-fide,0
8318.wav,Barack Obama,bona-fide,0
8319.wav,Donald Trump,bona-fide,0
8320.wav,Bill Clinton,spoof,1
8321.wav,Alec Guinness,bona-fide,0
8322.wav,Donald Trump,bona-fide,0
8323.wav,George Carlin,spoof,1
8324.wav,Dwight Eisenhower,bona-fide,0
8325.wav,Ayn Rand,bona-fide,0
8326.wav,The Notorious B.I.G.,spoof,1
8327.wav,Alec Guinness,bona-fide,0
8328.wav,Jeff Goldblum,bona-fide,0
8329.wav,George W. Bush,spoof,1
8330.wav,Donald Trump,bona-fide,0
8331.wav,Bernie Sanders,spoof,1
8332.wav,Queen Elizabeth II,bona-fide,0
8333.wav,Ronald Reagan,bona-fide,0
8334.wav,Barack Obama,bona-fide,0
8335.wav,Barack Obama,bona-fide,0
8336.wav,Alec Guinness,spoof,1
8337.wav,Ayn Rand,bona-fide,0
8338.wav,Louis Farrakhan,bona-fide,0
8339.wav,Barack Obama,bona-fide,0
8340.wav,Barack Obama,bona-fide,0
8341.wav,Ronald Reagan,spoof,1
8342.wav,Malcolm X,bona-fide,0
8343.wav,Boris Johnson,bona-fide,0
8344.wav,Bill Clinton,bona-fide,0
8345.wav,Winston Churchill,spoof,1
8346.wav,Christopher Hitchens,spoof,1
8347.wav,Bill Clinton,bona-fide,0
8348.wav,Bernie Sanders,spoof,1
8349.wav,Barack Obama,bona-fide,0
8350.wav,Ayn Rand,bona-fide,0
8351.wav,Donald Trump,bona-fide,0
8352.wav,Gilbert Gottfried,spoof,1
8353.wav,Ayn Rand,spoof,1
8354.wav,Alec Guinness,spoof,1
8355.wav,Barack Obama,bona-fide,0
8356.wav,Bernie Sanders,bona-fide,0
8357.wav,Ronald Reagan,bona-fide,0
8358.wav,Alec Guinness,bona-fide,0
8359.wav,Alan Watts,spoof,1
8360.wav,Alec Guinness,bona-fide,0
8361.wav,Bernie Sanders,bona-fide,0
8362.wav,Donald Trump,bona-fide,0
8363.wav,Ayn Rand,bona-fide,0
8364.wav,Barack Obama,bona-fide,0
8365.wav,JFK,bona-fide,0
8366.wav,Alan Watts,spoof,1
8367.wav,Bernie Sanders,spoof,1
8368.wav,Alexandria Ocasio-Cortez,bona-fide,0
8369.wav,Ronald Reagan,spoof,1
8370.wav,Barack Obama,bona-fide,0
8371.wav,Donald Trump,bona-fide,0
8372.wav,Christopher Hitchens,bona-fide,0
8373.wav,Alec Guinness,spoof,1
8374.wav,Arnold Schwarzenegger,spoof,1
8375.wav,Alexandria Ocasio-Cortez,bona-fide,0
8376.wav,Bernie Sanders,bona-fide,0
8377.wav,Alec Guinness,spoof,1
8378.wav,Nelson Mandela,spoof,1
8379.wav,Alec Guinness,bona-fide,0
8380.wav,Barack Obama,bona-fide,0
8381.wav,FDR,bona-fide,0
8382.wav,Louis Farrakhan,bona-fide,0
8383.wav,Alec Guinness,spoof,1
8384.wav,Ayn Rand,spoof,1
8385.wav,Adam Driver,bona-fide,0
8386.wav,Louis Farrakhan,spoof,1
8387.wav,FDR,spoof,1
8388.wav,Alec Guinness,spoof,1
8389.wav,Martin Luther King,spoof,1
8390.wav,Alec Guinness,bona-fide,0
8391.wav,Donald Trump,bona-fide,0
8392.wav,Christopher Hitchens,bona-fide,0
8393.wav,Barack Obama,bona-fide,0
8394.wav,Ronald Reagan,spoof,1
8395.wav,Bernie Sanders,spoof,1
8396.wav,Bernie Sanders,bona-fide,0
8397.wav,Alec Guinness,bona-fide,0
8398.wav,Barack Obama,bona-fide,0
8399.wav,Bernie Sanders,spoof,1
8400.wav,Winston Churchill,bona-fide,0
8401.wav,Alec Guinness,spoof,1
8402.wav,Donald Trump,spoof,1
8403.wav,Adam Driver,bona-fide,0
8404.wav,Ronald Reagan,spoof,1
8405.wav,George W. Bush,spoof,1
8406.wav,Donald Trump,bona-fide,0
8407.wav,Ayn Rand,spoof,1
8408.wav,Barack Obama,bona-fide,0
8409.wav,Ayn Rand,bona-fide,0
8410.wav,Bernie Sanders,bona-fide,0
8411.wav,Ronald Reagan,spoof,1
8412.wav,Donald Trump,bona-fide,0
8413.wav,Alec Guinness,bona-fide,0
8414.wav,The Notorious B.I.G.,spoof,1
8415.wav,Bernie Sanders,bona-fide,0
8416.wav,Ronald Reagan,spoof,1
8417.wav,Winston Churchill,spoof,1
8418.wav,Alec Guinness,spoof,1
8419.wav,Nelson Mandela,spoof,1
8420.wav,Ayn Rand,bona-fide,0
8421.wav,Martin Luther King,bona-fide,0
8422.wav,Queen Elizabeth II,bona-fide,0
8423.wav,Ayn Rand,bona-fide,0
8424.wav,Alec Guinness,spoof,1
8425.wav,Ronald Reagan,bona-fide,0
8426.wav,Christopher Hitchens,spoof,1
8427.wav,Bernie Sanders,spoof,1
8428.wav,Barack Obama,bona-fide,0
8429.wav,2Pac,spoof,1
8430.wav,Robert Kardashian,spoof,1
8431.wav,Donald Trump,bona-fide,0
8432.wav,JFK,spoof,1
8433.wav,Donald Trump,bona-fide,0
8434.wav,Martin Luther King,bona-fide,0
8435.wav,Donald Trump,bona-fide,0
8436.wav,Bill Clinton,bona-fide,0
8437.wav,Bill Clinton,bona-fide,0
8438.wav,Bernie Sanders,bona-fide,0
8439.wav,Alec Guinness,spoof,1
8440.wav,Donald Trump,bona-fide,0
8441.wav,Ayn Rand,bona-fide,0
8442.wav,Bernie Sanders,bona-fide,0
8443.wav,Bernie Sanders,bona-fide,0
8444.wav,Boris Johnson,spoof,1
8445.wav,Dwight Eisenhower,bona-fide,0
8446.wav,Bernie Sanders,spoof,1
8447.wav,Nelson Mandela,spoof,1
8448.wav,Malcolm X,bona-fide,0
8449.wav,Barack Obama,bona-fide,0
8450.wav,Nelson Mandela,spoof,1
8451.wav,Ronald Reagan,bona-fide,0
8452.wav,Barack Obama,bona-fide,0
8453.wav,Milton Friedman,bona-fide,0
8454.wav,Martin Luther King,bona-fide,0
8455.wav,Alec Guinness,spoof,1
8456.wav,Christopher Hitchens,spoof,1
8457.wav,George Carlin,bona-fide,0
8458.wav,Ayn Rand,bona-fide,0
8459.wav,Bill Clinton,spoof,1
8460.wav,Nelson Mandela,spoof,1
8461.wav,Alec Guinness,bona-fide,0
8462.wav,Frank Sinatra,spoof,1
8463.wav,Martin Luther King,bona-fide,0
8464.wav,Ayn Rand,spoof,1
8465.wav,Bernie Sanders,spoof,1
8466.wav,Barack Obama,bona-fide,0
8467.wav,Nelson Mandela,spoof,1
8468.wav,Barack Obama,bona-fide,0
8469.wav,Milton Friedman,spoof,1
8470.wav,Ayn Rand,bona-fide,0
8471.wav,Bill Clinton,bona-fide,0
8472.wav,Martin Luther King,spoof,1
8473.wav,Bill Clinton,bona-fide,0
8474.wav,Donald Trump,bona-fide,0
8475.wav,Ronald Reagan,bona-fide,0
8476.wav,Alec Guinness,bona-fide,0
8477.wav,Louis Farrakhan,bona-fide,0
8478.wav,Milton Friedman,spoof,1
8479.wav,JFK,spoof,1
8480.wav,Arnold Schwarzenegger,bona-fide,0
8481.wav,Bernie Sanders,bona-fide,0
8482.wav,Barack Obama,bona-fide,0
8483.wav,Ronald Reagan,spoof,1
8484.wav,Barack Obama,bona-fide,0
8485.wav,Bernie Sanders,bona-fide,0
8486.wav,Ayn Rand,bona-fide,0
8487.wav,Mark Zuckerberg,spoof,1
8488.wav,Alec Guinness,spoof,1
8489.wav,Ayn Rand,spoof,1
8490.wav,Alec Guinness,bona-fide,0
8491.wav,Alan Watts,spoof,1
8492.wav,Barack Obama,bona-fide,0
8493.wav,Winston Churchill,bona-fide,0
8494.wav,Donald Trump,bona-fide,0
8495.wav,Alec Guinness,bona-fide,0
8496.wav,Alec Guinness,spoof,1
8497.wav,Nelson Mandela,spoof,1
8498.wav,Bill Clinton,bona-fide,0
8499.wav,Milton Friedman,spoof,1
8500.wav,Donald Trump,bona-fide,0
8501.wav,Bill Clinton,bona-fide,0
8502.wav,Winston Churchill,spoof,1
8503.wav,Bernie Sanders,bona-fide,0
8504.wav,Orson Welles,bona-fide,0
8505.wav,Alec Guinness,spoof,1
8506.wav,Ayn Rand,bona-fide,0
8507.wav,Ayn Rand,bona-fide,0
8508.wav,Christopher Hitchens,spoof,1
8509.wav,Alec Guinness,spoof,1
8510.wav,Barack Obama,bona-fide,0
8511.wav,Bob Ross,bona-fide,0
8512.wav,Martin Luther King,spoof,1
8513.wav,Norm MacDonald,spoof,1
8514.wav,Lyndon Johnson,bona-fide,0
8515.wav,Ayn Rand,bona-fide,0
8516.wav,Adam Driver,spoof,1
8517.wav,Ayn Rand,bona-fide,0
8518.wav,Louis C.K.,spoof,1
8519.wav,Bernie Sanders,bona-fide,0
8520.wav,Donald Trump,bona-fide,0
8521.wav,Donald Trump,bona-fide,0
8522.wav,Donald Trump,bona-fide,0
8523.wav,Donald Trump,bona-fide,0
8524.wav,Scarlett Johansson,spoof,1
8525.wav,Winston Churchill,spoof,1
8526.wav,Ronald Reagan,bona-fide,0
8527.wav,Christopher Hitchens,bona-fide,0
8528.wav,Barack Obama,bona-fide,0
8529.wav,Ayn Rand,spoof,1
8530.wav,Christopher Hitchens,bona-fide,0
8531.wav,William F. Buckley,spoof,1
8532.wav,Barack Obama,bona-fide,0
